날짜,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈,S&P 500 ETF,QQQ ETF
2026-03-16,32074200,27733700,42209300,23519700,14822000,15134900,58068300,217307400,1243400,34931800,14460200,114199400,14715100,19653200,4498700,2099100,3176700,6871000,11950800,43067600,31363100,11679200,4754900,30285200,4427000,82023100,49077200
2026-03-17,32361600,26228300,44969900,21955200,14423600,10348800,46890500,182497800,1210400,26434500,21819800,89061600,16210500,24222000,5460200,2334300,4224000,5382700,13495300,43017900,38026500,6456200,3385200,22779700,4833900,87128000,47106600
2026-03-18,35757900,25908500,37846600,20009800,13848400,11726300,50853100,156683100,1434400,27878300,19662700,78056200,18827600,36334100,5124400,2895100,3255200,7598400,9252900,58973700,25460600,7305600,5069200,28569100,5170500,82062600,56128000
2026-03-19,34864100,25138800,36440600,25075800,15399700,13247700,67078300,170968500,1340200,40169300,22744600,74051500,17519600,36163200,5555500,2168700,3031900,10524500,8864400,74591900,23524800,4459800,5868100,32245300,6459700,111272500,75597600
2026-03-20,88331100,50853200,63694600,44364100,34763500,21214900,78628600,241323500,2621600,61678000,31695500,162814200,90380800,246107100,14480700,9168800,8098400,13961900,22557300,64224900,43325900,10467300,15025200,37265100,17587900,163617500,91964700
2026-03-23,40546100,29680100,44277400,29326900,22204100,13638000,74606000,182836300,1779100,34315900,21262500,80772200,20072200,31505500,6783000,2368700,3657400,7438300,12617300,54807300,27369200,4080500,7452800,31857800,6490700,134802700,89936100
2026-03-24,45152300,42733600,35351400,36864300,27411200,10739700,60004900,147667800,1259300,28938000,19616500,65323500,23528000,21804200,5803700,2336700,3326000,6262800,9066000,44975100,19799000,6268300,7015200,27258800,6406200,96457500,57750900
2026-03-25,28476700,31181200,36388800,29460700,22343000,12585000,55157300,162602100,1067100,29545600,14861200,97467900,23146000,22266800,4978500,1831900,4574600,7007500,9431900,55328700,19900000,5441600,4505800,48518300,5052000,90653800,60475500
2026-03-26,41796700,36836600,46746000,39080600,29281200,35780100,55522900,186152200,1498300,59522000,14613000,82841400,26649600,28571200,5677100,2044800,4754400,6134000,8416900,54515900,20343700,4715300,6314400,49213000,9261000,96494400,81492100
2026-03-27,47900000,37883400,56009800,35890600,25703300,30133000,62065700,196212700,1540900,44590700,17434200,70002200,20557400,19776200,6663600,2274800,3316200,12433600,14112900,45806700,23593900,4429400,5792700,29206600,5984800,103649400,82702200
2026-03-30,39446200,44797000,46373800,35141200,22752300,22795200,67954400,185627000,2129100,32375100,17778200,84596000,24306300,32458500,10386800,2589900,3217500,7422100,10310000,73833200,28054500,4410200,6024700,41053300,6568100,99275900,70602600
2026-03-31,49598100,45244400,58470100,43875400,31625100,32898300,75534900,226181300,2447900,54270000,12695000,95294900,25105700,28734100,8033800,3747100,3479000,9564200,11205800,73551800,29289500,4575900,7277900,42318700,8335600,152534100,95878000
